name,price,url,oz
"authority® everyday health adult cat wet food - 5.5 oz, pate, with-grain",$2.89,/cat/food-and-treats/wet-food/authority-everyday-health-adult-cat-wet-food--55-oz-pate-withgrain-51001.html,5.5
"wellness® healthy indulgence gravies adult cat food - grain free, natural, tuna & mackerel",$3.69,/cat/food-and-treats/wet-food/wellness-healthy-indulgence-gravies-adult-cat-food--grain-free-natural-tuna-and-mackerel-34674.html,3.0
royal canin® feline care nutrition kitten loaf in sauce wet food  3 oz can,$3.49,/cat/food-and-treats/wet-food/royal-canin-feline-care-nutrition-kitten-loaf-in-sauce-wet-food--3-oz-can-30739.html,3.0
"hill's® science diet® adult wet cat food - chunks & gravy, 5.5 oz",$3.49,/cat/food-and-treats/wet-food/hills-science-diet-adult-wet-cat-food--chunks-and-gravy-55-oz-12827.html,5.5
"hill's® science diet® kitten wet cat food - chunks & gravy, 5.5 oz",$3.49,/cat/food-and-treats/wet-food/hills-science-diet-kitten-wet-cat-food--chunks-and-gravy-55-oz-12830.html,5.5
"wellness® complete health cat food - natural, grain free, pate",$2.69 - $3.99,/cat/food-and-treats/wet-food/wellness-complete-health-cat-food--natural-grain-free-pate-12917.html,5.5
"simply nourish® cat wet food - 36 oz, natural, shreds in a light cream sauce, with-grain",$15.99,/cat/food-and-treats/wet-food/simply-nourish-cat-wet-food--36-oz-natural-shreds-in-a-light-cream-sauce-withgrain-67669.html,36.0
purina urinary tract health pro plan focus  adult wet cat food - 3 oz,$2.19,/cat/food-and-treats/wet-food/purina-urinary-tract-health-pro-plan-focus--adult-wet-cat-food--3-oz-33944.html,3.0
"purina pro plan prime plus senior wet cat food - grain free, high-protein, 3 oz",$2.19,/cat/food-and-treats/wet-food/purina-pro-plan-prime-plus-senior-wet-cat-food--grain-free-highprotein-3-oz-42604.html,3.0
hill's® science diet® sensitive stomach & skin adult wet cat food - 2.9 oz,$2.99,/cat/food-and-treats/wet-food/hills-science-diet-sensitive-stomach-and-skin-adult-wet-cat-food--29-oz-48333.html,2.9
"wellness® healthy indulgence morsels adult cat food - grain free, natural, chicken & chicken liver",$3.69,/cat/food-and-treats/wet-food/wellness-healthy-indulgence-morsels-adult-cat-food--grain-free-natural-chicken-and-chicken-liver-34664.html,3
"blue buffalo® wilderness™  senior wet cat food - grain free, 5.5 oz.",$3.29,/cat/food-and-treats/wet-food/blue-buffalo-wildernessandtrade--senior-wet-cat-food--grain-free-55-oz-22158.html,5.5
"hill's science diet adult perfect digestion chicken, vegetable & rice stew canned cat food 2.9 oz",$2.99,/cat/food-and-treats/wet-food/hills-science-diet-adult-perfect-digestion-chicken-vegetable-and-rice-stew-canned-cat-food-29-oz-75570.html,2.9
instinct® all life stage wet cat food - grain free,$2.49 - $3.29,/cat/food-and-treats/wet-food/instinct-all-life-stage-wet-cat-food--grain-free-22973.html,3.0
iams perfect portions healthy kitten wet cat food grain free chicken paté,$1.79,/cat/food-and-treats/wet-food/iams-perfect-portions-healthy-kitten-wet-cat-food-grain-free-chicken-pat-45539.html,2.6
iams perfect portions healthy adult wet cat food grain free chicken paté,$1.79,/cat/food-and-treats/wet-food/iams-perfect-portions-healthy-adult-wet-cat-food-grain-free-chicken-pat-45538.html,2.6
"simply nourish® original cat wet food - 2.8 oz, natural, stew, grain free",$2.09,/cat/food-and-treats/wet-food/simply-nourish-original-cat-wet-food--28-oz-natural-stew-grain-free-51893.html,2.8
purina pro plan vital systems adult wet cat food 3oz,$2.19,/cat/food-and-treats/wet-food/purina-pro-plan-vital-systems-adult-wet-cat-food-3oz-68699.html,3.0
"simply nourish® source cat wet food - 2.8 oz, high-protein, stew, grain free",$2.09,/cat/food-and-treats/wet-food/simply-nourish-source-cat-wet-food--28-oz-highprotein-stew-grain-free-56240.html,2.8
pro plan vital systems chicken entrã©e adult cat food with gravy 3oz,$2.19,/cat/food-and-treats/wet-food/pro-plan-vital-systems-chicken-entre-adult-cat-food-with-gravy-3oz-75556.html,3.0
hill's® science diet® adult senior 7+ wet cat food - 2.9 oz,$2.99,/cat/food-and-treats/wet-food/hills-science-diet-adult-senior-7-wet-cat-food--29-oz-42663.html,2.9
"wellness® healthy indulgence morsels adult cat food - grain free, natural, salmon & tuna",$3.69,/cat/food-and-treats/wet-food/wellness-healthy-indulgence-morsels-adult-cat-food--grain-free-natural-salmon-and-tuna-34667.html,3.0
"wellness® complete health kitten wet cat food pate - 3 oz, natural, grain free",$2.69,/cat/food-and-treats/wet-food/wellness-complete-health-kitten-wet-cat-food-pate--3-oz-natural-grain-free-25940.html,3.0
hill's science diet adult healthy cuisine cat food - tuna & carrot medley,$2.99,/cat/food-and-treats/wet-food/hills-science-diet-adult-healthy-cuisine-cat-food--tuna-and-carrot-medley-78132.html,2.8
"merrick® purrfect bistro® adult wet cat food - 5.5 oz., corn free, grain free",$3.17 - $3.99,/cat/food-and-treats/wet-food/merrick-purrfect-bistro-adult-wet-cat-food--55-oz-corn-free-grain-free-76005.html,5.5
royal canin® feline health nutrition™ weight care adult cat food,$3.49,/cat/food-and-treats/wet-food/royal-canin-feline-health-nutritionandtrade-weight-care-adult-cat-food-58244.html,3.0
nutrience care® urinary health adult cat food,$3.39,/cat/food-and-treats/wet-food/nutrience-care-urinary-health-adult-cat-food-57983.html,"[<div class=""sparky-c-definition-list__item size-variant__radio-fields-title"" data-testid=""variant-title-size""><dt class=""sparky-c-definition-list__term"">Size:</dt><dd class=""sparky-c-definition-list__description"">156 g</dd></div>]"
royal canin feline care nutrition weight care loaf in sauce canned cat food,$4.49,/cat/food-and-treats/wet-food/royal-canin-feline-care-nutrition-weight-care-loaf-in-sauce-canned-cat-food-79463.html,5.1
royal canin feline health nutrition utra-soft mousse kitten food,$4.49,/cat/food-and-treats/wet-food/royal-canin-feline-health-nutrition-utrasoft-mousse-kitten-food-63319.html,5.1
fancy feast® chunks wet cat food,$1.09,/cat/food-and-treats/wet-food/fancy-feast-chunks-wet-cat-food-1261.html,3.0
purina® friskies® indoor delights® cat food,$1.09,/cat/food-and-treats/wet-food/purina-friskies-indoor-delights-cat-food-12843.html,5.5
fancy feast® gravy lovers wet cat food,$1.09,/cat/food-and-treats/wet-food/fancy-feast-gravy-lovers-wet-cat-food-21182.html,
"authority® everyday health indoor cat wet food - 3 oz, pate, with-grain",$1.99,/cat/food-and-treats/wet-food/authority-everyday-health-indoor-cat-wet-food--3-oz-pate-withgrain-51696.html,3.0
"simply nourish® original cat wet food - 3 oz, natural, morsels in broth, with-grain",$1.49,/cat/food-and-treats/wet-food/simply-nourish-original-cat-wet-food--3-oz-natural-morsels-in-broth-withgrain-51888.html,3.0
"simply nourish® source cat meal topper - 3 oz, natural, high-protein, grain free",$1.99,/cat/food-and-treats/wet-food/simply-nourish-source-cat-meal-topper--3-oz-natural-highprotein-grain-free-51912.html,3.0
wellness complete health grain free senior wet cat food chicken recipe 3 oz,$2.69,/cat/food-and-treats/wet-food/wellness-complete-health-grain-free-senior-wet-cat-food-chicken-recipe-3-oz-70861.html,3.0
"hill's® science diet® adult wet cat food - chunks & gravy, 2.8 oz pouch",$2.99,/cat/food-and-treats/wet-food/hills-science-diet-adult-wet-cat-food--chunks-and-gravy-28-oz-pouch-58004.html,2.8
hill's® science diet® kitten wet cat food - 2.8 oz pouch,$2.99,/cat/food-and-treats/wet-food/hills-science-diet-kitten-wet-cat-food--28-oz-pouch-58015.html,2.8
"authority® everyday health indoor kitten cat wet food - 5.5 oz, pate, with-grain",$2.89,/cat/food-and-treats/wet-food/authority-everyday-health-indoor-kitten-cat-wet-food--55-oz-pate-withgrain-57087.html,5.5
hill's science diet adult 11+ healthy cuisine cat food - tuna & carrot medley,$2.99,/cat/food-and-treats/wet-food/hills-science-diet-adult-11-healthy-cuisine-cat-food--tuna-and-carrot-medley-78135.html,2.8
"purina pro plan sensitive skin & stomach adult wet cat food - grain free, chicken",$2.19,/cat/food-and-treats/wet-food/purina-pro-plan-sensitive-skin-and-stomach-adult-wet-cat-food--grain-free-chicken-72367.html,"[<div class=""sparky-c-definition-list__item size-variant__radio-fields-title"" data-testid=""variant-title-size""><dt class=""sparky-c-definition-list__term"">Size:</dt><dd class=""sparky-c-definition-list__description"">85 g</dd></div>]"
"nutro perfect portions pate adult wet cat food - grain free, 2.64oz",$2.49,/cat/food-and-treats/wet-food/nutro-perfect-portions-pate-adult-wet-cat-food--grain-free-264oz-28144.html,2.64
hill's science diet adult 7+ cat food - beef entree,$3.49,/cat/food-and-treats/wet-food/hills-science-diet-adult-7-cat-food--beef-entree-78139.html,5.5
"wellness® complete health kitten wet cat food pate - 5.5 oz, natural, grain free",$3.99,/cat/food-and-treats/wet-food/wellness-complete-health-kitten-wet-cat-food-pate--55-oz-natural-grain-free-68680.html,5.5
"blue buffalo® tastefuls™ adult cat food - natural, ocean fish & tuna",$2.39,/cat/food-and-treats/wet-food/blue-buffalo-tastefulsandtrade-adult-cat-food--natural-ocean-fish-and-tuna-70840.html,5.5
purina pro plan prime plus adult 7+ cat food - salmon & tuna,$2.19,/cat/food-and-treats/wet-food/purina-pro-plan-prime-plus-adult-7-cat-food--salmon-and-tuna-43789.html,"[<div class=""sparky-c-definition-list__item size-variant__radio-fields-title"" data-testid=""variant-title-size""><dt class=""sparky-c-definition-list__term"">Size:</dt><dd class=""sparky-c-definition-list__description"">85 g</dd></div>]"
"wellness® core® adult cat food digestive health, grain free, chicken",$3.29,/cat/food-and-treats/wet-food/wellness-core-adult-cat-food-digestive-health-grain-free-chicken-64467.html,3.0
"wellness® signature selects cat food - natural, grain free",$5.49,/cat/food-and-treats/wet-food/wellness-signature-selects-cat-food--natural-grain-free-18535.html,2.8
"wellness® signature selects cat food - natural, grain free",$5.49,/cat/food-and-treats/wet-food/wellness-signature-selects-cat-food--natural-grain-free-12912.html,2.8
royal canin® feline health nutrition™ aging 12+ cat food,$3.49,/cat/food-and-treats/wet-food/royal-canin-feline-health-nutritionandtrade-aging-12-cat-food-52107.html,"[<div class=""sparky-c-definition-list__item size-variant__radio-fields-title"" data-testid=""variant-title-size""><dt class=""sparky-c-definition-list__term"">Size:</dt><dd class=""sparky-c-definition-list__description"">85 g</dd></div>]"
royal canin® feline health nutrition™ intense beauty adult cat food,$3.49,/cat/food-and-treats/wet-food/royal-canin-feline-health-nutritionandtrade-intense-beauty-adult-cat-food-52108.html,"[<div class=""sparky-c-definition-list__item size-variant__radio-fields-title"" data-testid=""variant-title-size""><dt class=""sparky-c-definition-list__term"">Size:</dt><dd class=""sparky-c-definition-list__description"">85 g</dd></div>]"
"hill's® science diet® indoor adult wet cat food - minced, 5.5 oz",$3.49,/cat/food-and-treats/wet-food/hills-science-diet-indoor-adult-wet-cat-food--minced-55-oz-12823.html,5.5
"hill's® science diet® hairball control adult wet cat food - minced, 5.5 oz",$3.49,/cat/food-and-treats/wet-food/hills-science-diet-hairball-control-adult-wet-cat-food--minced-55-oz-12817.html,5.5
royal canin feline care nutrition digestive care loaf in sauce canned cat food,$4.49,/cat/food-and-treats/wet-food/royal-canin-feline-care-nutrition-digestive-care-loaf-in-sauce-canned-cat-food-79454.html,5.1
"simply nourish natural kitten wet food - pate, 3 oz",$1.49,/cat/food-and-treats/wet-food/simply-nourish-natural-kitten-wet-food--pate-3-oz-80963.html,3.0
"authority sensitive stomach + skin adult cat wet food - pate, 3 oz",$1.89,/cat/food-and-treats/wet-food/authority-sensitive-stomach--skin-adult-cat-wet-food--pate-3-oz-80264.html,3.0
"b.f.f. omg gravy! for tuna lovers wet cat food - 3 oz, minced in gravy",$2.19,/cat/food-and-treats/wet-food/bff-omg-gravy-for-tuna-lovers-wet-cat-food--3-oz-minced-in-gravy-76267.html,3.0
"authority adult wet cat food - entree in gravy shredded, 3 oz.",$1.99,/cat/food-and-treats/wet-food/authority-adult-wet-cat-food--entree-in-gravy-shredded-3-oz-73790.html,3.0
"authority adult wet cat food - entree in gravy, 3 oz.",$1.99,/cat/food-and-treats/wet-food/authority-adult-wet-cat-food--entree-in-gravy-3-oz-73788.html,3.0
"wellness® core® tiny tasters kitten minced wet cat food # 1.75 oz, natural, grain free",$2.49,/cat/food-and-treats/wet-food/wellness-core-tiny-tasters-kitten-minced-wet-cat-food--175-oz-natural-grain-free-68678.html,1.75
"authority® everyday health cat wet food - 3 oz, shreds in gravy, with-grain",$1.99,/cat/food-and-treats/wet-food/authority-everyday-health-cat-wet-food--3-oz-shreds-in-gravy-withgrain-63500.html,3.0
"authority® everyday health indoor kitten cat wet food - 3 oz, pate, with-grain",$1.99,/cat/food-and-treats/wet-food/authority-everyday-health-indoor-kitten-cat-wet-food--3-oz-pate-withgrain-52364.html,3.0
"natural balance platefulls indoor adult cat food - grain free, chicken & chicken liver",$2.39,/cat/food-and-treats/wet-food/natural-balance-platefulls-indoor-adult-cat-food--grain-free-chicken-and-chicken-liver-30138.html,3.0
"blue buffalo® wilderness™ adult wet cat food - grain free, natural",$2.79 - $3.29,/cat/food-and-treats/wet-food/blue-buffalo-wildernessandtrade-adult-wet-cat-food--grain-free-natural-36986.html,3.0
"simply nourish natural wet cat food - pate, 5.5 oz",$1.89,/cat/food-and-treats/wet-food/simply-nourish-natural-wet-cat-food--pate-55-oz-80942.html,5.5
"authority adult wet cat food - entree in gravy shredded, 3 oz.",$1.99,/cat/food-and-treats/wet-food/authority-adult-wet-cat-food--entree-in-gravy-shredded-3-oz-73789.html,3.0
purina pro plan sensitive skin & stomach grain free adult wet cat food - arctic char,$2.19,/cat/food-and-treats/wet-food/purina-pro-plan-sensitive-skin-and-stomach-grain-free-adult-wet-cat-food--arctic-char-72366.html,"[<div class=""sparky-c-definition-list__item size-variant__radio-fields-title"" data-testid=""variant-title-size""><dt class=""sparky-c-definition-list__term"">Size:</dt><dd class=""sparky-c-definition-list__description"">85 g</dd></div>]"
"blue buffalo® tastefuls™ spoonless singles adult wet cat food - natural, beef, pate",$1.99,/cat/food-and-treats/wet-food/blue-buffalo-tastefulsandtrade-spoonless-singles-adult-wet-cat-food--natural-beef-pate-68655.html,2.6
"authority® digestive support cat wet food - 5.5 oz, puree, grain free",$1.99,/cat/food-and-treats/food-toppers/authority-digestive-support-cat-wet-food--55-oz-puree-grain-free-63492.html,5.5
"authority® everyday health cat wet food - 3 oz, flaked in gravy, with-grain",$1.99,/cat/food-and-treats/wet-food/authority-everyday-health-cat-wet-food--3-oz-flaked-in-gravy-withgrain-63499.html,3.0
"simply nourish® shreds in a creamy sauce kitten wet cat food - natural, with grain",$1.49,/cat/food-and-treats/wet-food/simply-nourish-shreds-in-a-creamy-sauce-kitten-wet-cat-food--natural-with-grain-80836.html,3
"simply nourish® shreds in a creamy sauce adult wet cat food - natural, with grain",$1.49,/cat/food-and-treats/wet-food/simply-nourish-shreds-in-a-creamy-sauce-adult-wet-cat-food--natural-with-grain-63236.html,3.0
hill's® science diet® adult senior 7+ wet cat food - 2.8 oz pouch,$2.99,/cat/food-and-treats/wet-food/hills-science-diet-adult-senior-7-wet-cat-food--28-oz-pouch-59190.html,2.8
"merrick® backcountry® kitten wet cat food - 3 oz., corn free, gluten free",$3.19,/cat/food-and-treats/wet-food/merrick-backcountry-kitten-wet-cat-food--3-oz-corn-free-gluten-free-53974.html,3.0
"simply nourish® original cat wet food - 3 oz, natural, shreds in creamy sauce, with-grain",$1.49,/cat/food-and-treats/wet-food/simply-nourish-original-cat-wet-food--3-oz-natural-shreds-in-creamy-sauce-withgrain-51891.html,3.0
"nutro perfect portions cuts in gravy adult wet cat food - grain free , 2.64oz",$2.49,/cat/food-and-treats/wet-food/nutro-perfect-portions-cuts-in-gravy-adult-wet-cat-food--grain-free--264oz-43852.html,2.64
"natural balance platefulls indoor adult cat food - grain free, duck, chicken & pumpkin",$2.39,/cat/food-and-treats/wet-food/natural-balance-platefulls-indoor-adult-cat-food--grain-free-duck-chicken-and-pumpkin-30162.html,3
"simply nourish® mousse cat meal topper - natural, 3 oz",$1.79,/cat/food-and-treats/wet-food/simply-nourish-mousse-cat-meal-topper--natural-3-oz-67667.html,3.0
"simply nourish source natural adult cat food - grain free, shreds, 2.8 oz",$2.09,/cat/food-and-treats/wet-food/simply-nourish-source-natural-adult-cat-food--grain-free-shreds-28-oz-83862.html,2.8
"weruva kitten wet cat food - 3 oz, minced in gravy",$2.69,/cat/food-and-treats/wet-food/weruva-kitten-wet-cat-food--3-oz-minced-in-gravy-76317.html,3.0
"applaws cat wet food complement - natural, limited ingredient, 3 oz",$2.29,/cat/food-and-treats/food-toppers/applaws-cat-wet-food-complement--natural-limited-ingredient-3-oz-77506.html,3.0
"authority healthy aging senior wet cat food - pate, 3 oz.",$1.99,/cat/food-and-treats/wet-food/authority-healthy-aging-senior-wet-cat-food--pate-3-oz-73786.html,3.0
purina pro plan hairball control adult wet cat food - ocean whitefish & tuna,$2.19,/cat/food-and-treats/wet-food/purina-pro-plan-hairball-control-adult-wet-cat-food--ocean-whitefish-and-tuna-72365.html,"[<div class=""sparky-c-definition-list__item size-variant__radio-fields-title"" data-testid=""variant-title-size""><dt class=""sparky-c-definition-list__term"">Size:</dt><dd class=""sparky-c-definition-list__description"">85 g</dd></div>]"
"reveal all life stage wet cat food in broth - 2.47 oz, limited ingredient, grain free",$2.19,/cat/food-and-treats/wet-food/reveal-all-life-stage-wet-cat-food-in-broth--247-oz-limited-ingredient-grain-free-70757.html,2.47
"blue buffalo® tastefuls™ adult cat food - natural, salmon",$2.39,/cat/food-and-treats/wet-food/blue-buffalo-tastefulsandtrade-adult-cat-food--natural-salmon-72759.html,5.5
"blue buffalo® tastefuls™ spoonless singles adult wet cat food - natural, chicken, cuts in grav",$1.99,/cat/food-and-treats/wet-food/blue-buffalo-tastefulsandtrade-spoonless-singles-adult-wet-cat-food--natural-chicken-cuts-in-grav-68656.html,2.6
"tiki cat® grill wet cat food - 2.8oz, natural, grain free",$2.29 - $2.79,/cat/food-and-treats/wet-food/tiki-cat-grill-wet-cat-food--28oz-natural-grain-free-63307.html,2.8
authority entree in gravy adult wet kitten food,$1.99,/cat/food-and-treats/wet-food/authority-entree-in-gravy-adult-wet-kitten-food-63497.html,3
"tiki cat® after dark™ wet cat food - non-gmo, grain & potato free, 2.8oz",$2.99,/cat/food-and-treats/wet-food/tiki-cat-after-darkandtrade-wet-cat-food--nongmo-grain-and-potato-free-28oz-57644.html,2.8
"tiki cat® velvet™ mousse kitten food - non-gmo, grain & potato free, chicken & chicken liver",$2.99,/cat/food-and-treats/wet-food/tiki-cat-velvetandtrade-mousse-kitten-food--nongmo-grain-and-potato-free-chicken-and-chicken-liver-57718.html,2.4
applaws® natural cat food adult cat food - limited ingredients,$2.29,/cat/food-and-treats/wet-food/applaws-natural-cat-food-adult-cat-food--limited-ingredients-57613.html,2.47
"simply nourish® source kitten cat wet food - 3 oz, high-protein, pate, grain free",$1.99,/cat/food-and-treats/wet-food/simply-nourish-source-kitten-cat-wet-food--3-oz-highprotein-pate-grain-free-54740.html,3.0
"simply nourish source natural adult cat food - hight protein, grain free, pate, 3 oz",$1.99,/cat/food-and-treats/wet-food/simply-nourish-source-natural-adult-cat-food--hight-protein-grain-free-pate-3-oz-80967.html,3.0
"simply nourish® original kitten cat wet food - 3 oz, natural, morsels in broth, with-grain",$1.49,/cat/food-and-treats/wet-food/simply-nourish-original-kitten-cat-wet-food--3-oz-natural-morsels-in-broth-withgrain-51889.html,3.0
"nutro perfect portions pate adult wet cat food - grain free, 2.64oz",$2.49,/cat/food-and-treats/wet-food/nutro-perfect-portions-pate-adult-wet-cat-food--grain-free-264oz-28145.html,2.64
"blue buffalo® wilderness™  kitten wet cat food - grain free, 3 oz.",$2.79,/cat/food-and-treats/wet-food/blue-buffalo-wildernessandtrade--kitten-wet-cat-food--grain-free-3-oz-22157.html,3.0
"wellness core kitten wet cat food - grain free, pate, 3 oz",$3.29,/cat/food-and-treats/wet-food/wellness-core-kitten-wet-cat-food--grain-free-pate-3-oz-81287.html,3.0
"tiki cat after dark adult cat food - high protein, soft pate, 3 oz",$3.19,/cat/food-and-treats/wet-food/tiki-cat-after-dark-adult-cat-food--high-protein-soft-pate-3-oz-80969.html,3.0
"tiki cat® born carnivore complements cat food topper - grain free, 2.1 oz",$2.49,/cat/food-and-treats/wet-food/tiki-cat-born-carnivore-complements-cat-food-topper--grain-free-21-oz-84796.html,2.1
"tiki cat baby kitten wet food - high protein, pate, 2.4 oz",$2.49,/cat/food-and-treats/wet-food/tiki-cat-baby-kitten-wet-food--high-protein-pate-24-oz-84764.html,2.4
"simply nourish layers natural adult wet cat food - pate & shreds, 3 oz",$2.19,/cat/food-and-treats/wet-food/simply-nourish-layers-natural-adult-wet-cat-food--pate-and-shreds-3-oz-83864.html,3.0
"simply nourish natural adult wet cat food - pate, split cups, 2.65 oz",$1.99,/cat/food-and-treats/wet-food/simply-nourish-natural-adult-wet-cat-food--pate-split-cups-265-oz-80965.html,2.65
